name,slug,threadcount,palette,colors_hex,symmetric,thread_total,verification,confirmed_by
MacLean of Duart Hunting,maclean-of-duart-hunting,K/4 H32 K4 H4 K12 W4 K12 H/6,W#E0E0E0 H#006428 K#101010,#101010|#006428|#E0E0E0,yes,146,C_dual_register_scrape,
"MacLean, Donald (Personal)",maclean-donald-personal,RB/6 DR4 RB24 K20 G6 SB6 G/32,K#101010 DR#880000 G#006818 RB#1C0070 SB#A8ACE8,#1C0070|#880000|#101010|#006818|#A8ACE8,yes,158,B_one_independent_archive,tartans-authority
MacLeay,macleay,R/108 B16 K16 B16 K16 A24 Y/4,K#101010 Y#D09800 B#789484 A#5C8CA8 R#C80000,#C80000|#789484|#101010|#5C8CA8|#D09800,yes,288,B_one_independent_archive,tartans-authority
MacLeish,macleish,GO/8 K4 G24 R12 G8 K10 RB24 K/36,K#101010 GO#BC8C00 G#006818 R#C80000 RB#1C0070,#BC8C00|#101010|#006818|#C80000|#1C0070,yes,208,B_one_independent_archive,tartans-authority
MacLellan,maclellan,RB/60 K32 G12 R12 G20 K8 Y8 K8 G20 R12 G12 K32 RB32 K/32,K#1C1C1C G#207C58 RB#382074 R#C80000 Y#E8C000,#382074|#1C1C1C|#207C58|#C80000|#E8C000,yes,508,B_one_independent_archive,tartans-authority
MacLellan / McLellan (Personal),maclellan-mclellan-personal,K/8 W4 B28 K16 R4 B16 R8 B16 W8 B16 R8 B16 R4 HG28 W4 Y/8,K#101010 B#2C2C80 HG#285800 R#C80000 W#E0E0E0 Y#E8C000,#101010|#E0E0E0|#2C2C80|#C80000|#285800|#E8C000,yes,368,C_dual_register_scrape,
MacLellan / McLellan Dress (Personal),maclellan-mclellan-dress-personal,K/8 W4 B28 K16 R4 W32 R8 W32 K4 HG28 W4 HG28 Y/8,K#101010 B#2C2C80 HG#285800 R#C80000 W#E0E0E0 Y#E8C000,#101010|#E0E0E0|#2C2C80|#C80000|#285800|#E8C000,yes,392,C_dual_register_scrape,
MacLellan / McLellan Hunting (Personal),maclellan-mclellan-hunting-personal,K/8 B28 K20 R8 B20 K8 B20 W4 B20 K4 B20 R8 HG28 Y/8,K#101010 B#2C2C80 HG#285800 R#C80000 W#E0E0E0 Y#E8C000,#101010|#2C2C80|#C80000|#E0E0E0|#285800|#E8C000,yes,392,C_dual_register_scrape,
MacLellan of Gartbreck (Personal),maclellan-of-gartbreck-personal,W/6 DN50 K4 N6 K6 DN8 K10 N40 DR8 N8 DR6 N/6,W#E0E0E0 K#101010 DR#880000 DN#5C5C5C N#888888,#E0E0E0|#5C5C5C|#101010|#888888|#880000,yes,304,B_one_independent_archive,tartans-authority
MacLennan,maclennan,R/12 B6 R4 B4 R4 B32 K24 G32 R2 K2 Y/4,K#101010 B#2C2C80 G#285800 R#C80000 Y#E8C000,#C80000|#2C2C80|#101010|#285800|#E8C000,yes,236,A_two_plus_independent_archives,weddslist; house-of-tartan; tartans-authority
MacLeod,macleod,K/6 R4 K2 R12 K48 R12 K2 R2 K6 R4 K2 R64 K48 R12 K12 R64 K48 R32 K12 R8 K/4,K#101010 R#DC0000,#101010|#DC0000,yes,798,B_one_independent_archive,weddslist
MacLeod #2,macleod-2,K/24 R6 K4 R32 K16 R24 K4 R/6,K#101010 R#DC0000,#101010|#DC0000,yes,202,C_dual_register_scrape,
MacLeod #3,macleod-3,K/12 Y2 K12 Y18 C2 Y/4,K#101010 Y#E8C000 C#960028,#101010|#E8C000|#960028,yes,84,C_dual_register_scrape,
MacLeod (Snuffbox),macleod-snuffbox,K/4 Y8 K16 R4 K16 Y8 R4 Y48 K/4,K#101010 R#C80000 Y#E8C000,#101010|#E8C000|#C80000,yes,216,C_dual_register_scrape,
MacLeod Black & Red,macleod-black-and-red,R/2 K24 R16 K2 R/16,R#DC0000 K#101010,#DC0000|#101010,yes,102,B_one_independent_archive,weddslist
MacLeod Black & White,macleod-black-and-white,WW/4 K38 WW28 K4 WW/28,K#101010 WW#FCFCFC,#FCFCFC|#101010,yes,172,C_dual_register_scrape,
MacLeod Red,macleod-red,B/8 R2 B2 R4 B22 R4 B2 R2 Y2 R2 B2 R32 B16 R8 G8 R32 G22 R16 B8 R4 Y/4,R#C80000 Y#E8C000 G#006818 B#2C2C80,#2C2C80|#C80000|#E8C000|#006818,yes,392,A_two_plus_independent_archives,weddslist; house-of-tartan; tartans-authority
MacLeod Society of Scotland,macleod-society-of-scotland,G/6 LG6 R44 K10 B44 DY/4,DY#E8C000 K#101010 LG#289C18 G#006818 R#C80000 B#2C2C80,#006818|#289C18|#C80000|#101010|#2C2C80|#E8C000,yes,218,C_dual_register_scrape,
MacLeod and MacNicol,macleod-and-macnicol,K/2 R16 G2 R16 K8 A2 K4 R8 G32 R16 G2 R/16,K#101010 R#DC0000 G#005020 A#3C82AF,#101010|#DC0000|#005020|#3C82AF,yes,230,B_one_independent_archive,weddslist
MacLeod of Argentina,macleod-of-argentina,BL/20 CW6 BL24 YT28 R/8,CW#FCFCFC R#C80000 YT#D8B000 BL#1474B4,#1474B4|#FCFCFC|#D8B000|#C80000,yes,144,A_two_plus_independent_archives,weddslist; tartans-authority
MacLeod of Assynt,macleod-of-assynt,R/6 K4 G40 K20 BL40 Y/4,K#101010 G#006818 Y#E8C000 R#C80000 BL#1474B4,#C80000|#101010|#006818|#1474B4|#E8C000,yes,218,B_one_independent_archive,tartans-authority
